scene_type,audience_group_id,season,weather,group_id,pattern_1,pattern_2,pattern_3,pattern_4,pattern_5,pattern_6,pattern_7,pattern_8,pattern_9,pattern_10,situation_type
2,2,1,1,510,10,10,0,0,0,0,0,0,0,0,0
2,2,1,2,510,10,10,0,0,0,0,0,0,0,0,0
2,2,1,3,610,4,4,6,6,0,0,0,0,0,0,0
2,2,2,1,500,10,10,0,0,0,0,0,0,0,0,0
2,2,2,2,500,10,10,0,0,0,0,0,0,0,0,0
2,2,2,3,600,4,4,6,6,0,0,0,0,0,0,0
2,2,3,1,510,10,10,0,0,0,0,0,0,0,0,0
2,2,3,2,510,10,10,0,0,0,0,0,0,0,0,0
2,2,3,3,610,4,4,6,6,0,0,0,0,0,0,0
2,2,4,1,520,10,10,0,0,0,0,0,0,0,0,0
2,2,4,2,520,10,10,0,0,0,0,0,0,0,0,0
2,2,4,3,620,4,4,6,6,0,0,0,0,0,0,0
2,2,4,4,620,4,4,6,6,0,0,0,0,0,0,0
2,2,5,1,510,10,10,0,0,0,0,0,0,0,0,0
2,2,5,2,510,10,10,0,0,0,0,0,0,0,0,0
2,2,5,3,610,4,4,6,6,0,0,0,0,0,0,0
1,0,1,1,710,11,11,0,0,0,0,0,0,0,0,1
1,0,1,2,710,11,11,0,0,0,0,0,0,0,0,1
1,0,1,3,810,4,4,7,7,0,0,0,0,0,0,1
1,0,2,1,700,11,11,0,0,0,0,0,0,0,0,1
1,0,2,2,700,11,11,0,0,0,0,0,0,0,0,1
1,0,2,3,800,4,4,7,7,0,0,0,0,0,0,1
1,0,3,1,710,11,11,0,0,0,0,0,0,0,0,1
1,0,3,2,710,11,11,0,0,0,0,0,0,0,0,1
1,0,3,3,810,4,4,7,7,0,0,0,0,0,0,1
1,0,4,1,720,11,11,0,0,0,0,0,0,0,0,1
1,0,4,2,720,11,11,0,0,0,0,0,0,0,0,1
1,0,4,3,820,4,4,7,7,0,0,0,0,0,0,1
1,0,4,4,820,4,4,7,7,0,0,0,0,0,0,1
1,0,5,1,710,11,11,0,0,0,0,0,0,0,0,1
1,0,5,2,710,11,11,0,0,0,0,0,0,0,0,1
1,0,5,3,810,4,4,7,7,0,0,0,0,0,0,1
2,0,1,1,710,11,11,0,0,0,0,0,0,0,0,1
2,0,1,2,710,11,11,0,0,0,0,0,0,0,0,1
2,0,1,3,810,4,4,7,7,0,0,0,0,0,0,1
2,0,2,1,700,11,11,0,0,0,0,0,0,0,0,1
2,0,2,2,700,11,11,0,0,0,0,0,0,0,0,1
2,0,2,3,800,4,4,7,7,0,0,0,0,0,0,1
2,0,3,1,710,11,11,0,0,0,0,0,0,0,0,1
2,0,3,2,710,11,11,0,0,0,0,0,0,0,0,1
2,0,3,3,810,4,4,7,7,0,0,0,0,0,0,1
2,0,4,1,720,11,11,0,0,0,0,0,0,0,0,1
2,0,4,2,720,11,11,0,0,0,0,0,0,0,0,1
2,0,4,3,820,4,4,7,7,0,0,0,0,0,0,1
2,0,4,4,820,4,4,7,7,0,0,0,0,0,0,1
2,0,5,1,710,11,11,0,0,0,0,0,0,0,0,1
2,0,5,2,710,11,11,0,0,0,0,0,0,0,0,1
2,0,5,3,810,4,4,7,7,0,0,0,0,0,0,1
1,1,1,1,310,11,11,0,0,0,0,0,0,0,0,1
1,1,1,2,310,11,11,0,0,0,0,0,0,0,0,1
1,1,1,3,410,4,4,7,7,0,0,0,0,0,0,1
1,1,2,1,300,11,11,0,0,0,0,0,0,0,0,1
1,1,2,2,300,11,11,0,0,0,0,0,0,0,0,1
1,1,2,3,400,4,4,7,7,0,0,0,0,0,0,1
1,1,3,1,310,11,11,0,0,0,0,0,0,0,0,1
1,1,3,2,310,11,11,0,0,0,0,0,0,0,0,1
1,1,3,3,410,4,4,7,7,0,0,0,0,0,0,1
1,1,4,1,320,11,11,0,0,0,0,0,0,0,0,1
1,1,4,2,320,11,11,0,0,0,0,0,0,0,0,1
1,1,4,3,420,4,4,7,7,0,0,0,0,0,0,1
1,1,4,4,420,4,4,7,7,0,0,0,0,0,0,1
1,1,5,1,310,11,11,0,0,0,0,0,0,0,0,1
1,1,5,2,310,11,11,0,0,0,0,0,0,0,0,1
1,1,5,3,410,4,4,7,7,0,0,0,0,0,0,1
2,1,1,1,310,11,11,0,0,0,0,0,0,0,0,1
2,1,1,2,310,11,11,0,0,0,0,0,0,0,0,1
2,1,1,3,410,4,4,7,7,0,0,0,0,0,0,1
2,1,2,1,300,11,11,0,0,0,0,0,0,0,0,1
2,1,2,2,300,11,11,0,0,0,0,0,0,0,0,1
2,1,2,3,400,4,4,7,7,0,0,0,0,0,0,1
2,1,3,1,310,11,11,0,0,0,0,0,0,0,0,1
2,1,3,2,310,11,11,0,0,0,0,0,0,0,0,1
2,1,3,3,410,4,4,7,7,0,0,0,0,0,0,1
2,1,4,1,320,11,11,0,0,0,0,0,0,0,0,1
2,1,4,2,320,11,11,0,0,0,0,0,0,0,0,1
2,1,4,3,420,4,4,7,7,0,0,0,0,0,0,1
2,1,4,4,420,4,4,7,7,0,0,0,0,0,0,1
2,1,5,1,310,11,11,0,0,0,0,0,0,0,0,1
2,1,5,2,310,11,11,0,0,0,0,0,0,0,0,1
2,1,5,3,410,4,4,7,7,0,0,0,0,0,0,1
1,2,1,1,510,10,10,0,0,0,0,0,0,0,0,1
1,2,1,2,510,10,10,0,0,0,0,0,0,0,0,1
1,2,1,3,610,4,4,6,6,0,0,0,0,0,0,1
1,2,2,1,500,10,10,0,0,0,0,0,0,0,0,1
1,2,2,2,500,10,10,0,0,0,0,0,0,0,0,1
1,2,2,3,600,4,4,6,6,0,0,0,0,0,0,1
1,2,3,1,510,10,10,0,0,0,0,0,0,0,0,1
1,2,3,2,510,10,10,0,0,0,0,0,0,0,0,1
1,2,3,3,610,4,4,6,6,0,0,0,0,0,0,1
1,2,4,1,520,10,10,0,0,0,0,0,0,0,0,1
1,2,4,2,520,10,10,0,0,0,0,0,0,0,0,1
1,2,4,3,620,4,4,6,6,0,0,0,0,0,0,1
1,2,4,4,620,4,4,6,6,0,0,0,0,0,0,1
1,2,5,1,510,10,10,0,0,0,0,0,0,0,0,1
1,2,5,2,510,10,10,0,0,0,0,0,0,0,0,1
1,2,5,3,610,4,4,6,6,0,0,0,0,0,0,1
2,2,1,1,510,10,10,0,0,0,0,0,0,0,0,1
2,2,1,2,510,10,10,0,0,0,0,0,0,0,0,1
2,2,1,3,610,4,4,6,6,0,0,0,0,0,0,1
2,2,2,1,500,10,10,0,0,0,0,0,0,0,0,1
2,2,2,2,500,10,10,0,0,0,0,0,0,0,0,1
2,2,2,3,600,4,4,6,6,0,0,0,0,0,0,1
2,2,3,1,510,10,10,0,0,0,0,0,0,0,0,1
2,2,3,2,510,10,10,0,0,0,0,0,0,0,0,1
2,2,3,3,610,4,4,6,6,0,0,0,0,0,0,1
2,2,4,1,520,10,10,0,0,0,0,0,0,0,0,1
2,2,4,2,520,10,10,0,0,0,0,0,0,0,0,1
2,2,4,3,620,4,4,6,6,0,0,0,0,0,0,1
2,2,4,4,620,4,4,6,6,0,0,0,0,0,0,1
2,2,5,1,510,10,10,0,0,0,0,0,0,0,0,1
2,2,5,2,510,10,10,0,0,0,0,0,0,0,0,1
2,2,5,3,610,4,4,6,6,0,0,0,0,0,0,1
